pixel,F_AREA,code
2585.5,2585.614381,370812003011
28294,28296.47333,370812003011
4131.5,4130.389406,370812003011
5005.25,5005.268008,370812003011
978.25,980.0596867,370812003011
14566.25,14567.18691,370812003014
3813.75,3813.267746,370812003014
190.75,417.9456997,370812003014
300.5,300.8542256,370812003014
679.25,677.6176843,370812003014
16915.25,16915.73464,370812101012
2724.25,2723.675872,370812101012
4387.75,4389.406814,370812101012
14847.25,14844.25171,370812101012
13991.5,13988.76633,370812101012
18000,18002.7996,370812101012
29422,29420.91591,370812101012
2134.75,2130.46387,370812101012
46951.25,46940.21035,370812101012
31147.25,31161.29071,370812101012
38228.75,38224.78016,370812101012
13119,13131.73574,370812101012
13382.75,13381.66764,370812101012
9820.5,9811.526796,370812101012
8116.25,8115.090975,370812101012
22895.75,22902.51747,370812101012
1394.25,1393.949446,370812101012
6413.25,6415.602895,370812101012
17626,17625.0658,370812101012
36876,36875.17676,370812101012
20989.75,20991.2705,370812101012
61436.75,61428.98164,370812101012
32584.5,32590.04595,370812101012
62273.75,62273.35162,370812101012
22941,22941.17648,370812101012
16261.25,16262.21955,370812101012
20736.75,20738.95598,370812101012
18282.25,18287.24193,370812101012
12854.5,12872.44102,370812101012
39161.75,39174.03191,370812101012
15214,15213.5735,370812101012
6455.5,6454.140024,370812101012
9039.75,9038.899559,370812101012
10387.75,10388.53841,370812101012
3572.5,3572.821488,370812101012
58628.25,58628.18093,370812101012
16131.25,16130.5965,370812101012
3553.5,3553.087796,370812101012
3338.25,3339.527793,370812101012
1960.75,1965.053892,370812101012
87.25,87.91524188,370812101012
794.5,794.9996048,370812101012
2175,2175.020992,370812101012
5003.5,5002.895469,370812101012
17153,17153.5935,370812101012
7108.75,7111.285057,370812101012
956,954.7184969,370812101012
18794,18791.04659,370812101012
3212,3212.523239,370812101012
19266.5,19265.88317,370812101012
3980.5,3980.282629,370812101012
6755.5,6759.335142,370812101012
68781.75,68779.77296,370812101012
8863.5,8862.618644,370812101012
30126.5,30124.46479,370812101012
8494.25,8494.310831,370812101012
9500.75,9499.96396,370812101012
12846.25,12845.12609,370812101012
31027,31029.89507,370812101012
55395.75,55384.92715,370812101012
59269.75,59266.7787,370812101012
9111.5,9110.444954,370812101012
243,243.4103099,370812101012
177.75,177.2371152,370812101012
2967,2965.452254,370812101012
1879,1887.972783,370812101012
1009.5,1003.080892,370812101012
769.75,759.6096295,370812101012
394.25,388.9352822,370812101012
695.5,698.150097,370812101012
303.5,300.9713435,370812101012
5047.25,5048.162407,370812101012
2130.5,2129.237891,370812101012
35486,35486.00863,370812101012
1894.5,1892.228177,370812101012
51566.25,51565.46114,370812101012
8131.75,8131.708582,370812101012
67.75,67.44754391,370812101012
239.75,240.5848543,370812101012
1864.5,1862.280384,370812101012
21392.75,21391.21879,370812101013
2346.75,2357.678341,370812101013
5031.25,5039.028227,370812101013
4480.75,4473.407731,370812101013
1822.25,1823.04827,370812101013
4090.5,4091.69428,370812101013
2025.75,2039.884239,370812101013
1577.75,1581.246722,370812101013
2121,2119.943487,370812101013
619,616.0834564,370812101013
810,811.5597978,370812101013
2985.75,2979.310302,370812101013
2434,2436.773777,370812101013
902,903.0537197,370812101013
1242.75,1243.476561,370812101013
7331,7336.985688,370812101013
2836,2834.897301,370812101013
3481.75,3467.849872,370812101013
2928,2928.435311,370812101013
1914.75,1921.856302,370812101013
2675.25,2676.527596,370812101013
588,587.1560171,370812101013
1328.25,1329.112901,370812101013
949.5,948.1519283,370812101013
17714.75,17714.96769,370812101013
23314.75,23316.92413,370812101013
36748.25,36768.19827,370812101013
4687.25,4684.382463,370812101013
1283,1285.539428,370812101013
313.5,314.5602606,370812101013
266.5,267.4488364,370812101013
309.25,308.4667031,370812101013
670.25,661.01709,370812101013
363.25,360.5261486,370812101013
289.75,289.0878244,370812101013
212.75,213.809318,370812101013
12405.25,12411.76855,370812101013
858.5,858.7053201,370812101013
22234,22232.43301,370812101014
11425.5,11425.19016,370812101014
14683.5,14682.12708,370812101014
6231,6232.428512,370812101014
10238.5,10233.03162,370812101014
26592,26591.82642,370812101014
54560,54550.87834,370812101014
59075,59075.25845,370812101014
14408.75,14403.07542,370812101014
4317.75,4313.852014,370812101014
20648,20649.78117,370812101014
16784.75,16772.1662,370812101014
1173.75,1170.672954,370812101014
29480.75,29483.18425,370812101014
57664.25,57662.54345,370812101014
672,672.6939492,370812101014
447.25,447.745863,370812101014
